Borough,Neighborhood,ID,Name
Bronx,Kingsbridge,5660c06b498e4003dba169a5,Mon Amour Coffee & Wine
Manhattan,Marble Hill,55f81cd2498ee903149fcc64,Starbucks
Manhattan,Marble Hill,57655be738faa66160da7527,Starbucks
Bronx,Norwood,4c6d5ce5e6b7b1f7af76a98e,Nicky's Coffee Shop
Bronx,Pelham Parkway,4bb62b326edc76b05d80301c,Liberty Donut & Coffee Shop
Bronx,Bedford Park,4fe48299e4b06b1c063a2c33,National Coffee Shop
Bronx,West Farms,4baa3cfff964a52081563ae3,Prospect Coffee Shop
Bronx,Throgs Neck,58b1b3e6076be15eeba26a3f,The Miles Coffee Bar
Bronx,Van Nest,4c1c5630e9c4ef3b4ccd45aa,Conti's Pastry Shoppe
Bronx,Morris Park,4c743793b474a1cd3bf5b5bf,La Casa Del Caffe
Bronx,Belmont,53a0be61498eeec38e5112e0,Starbucks
Bronx,Belmont,5cb4b7c5fdb9a7002c70843d,Starbucks
Bronx,North Riverdale,4b8d1887f964a520aae732e3,Noni's Coffee Shop
Bronx,Edgewater Park,58b1b3e6076be15eeba26a3f,The Miles Coffee Bar
Bronx,Edgewater Park,4f446de019836ed0019408da,Bridges
Brooklyn,Greenpoint,518cf9ec498e8c38bda0268d,Homecoming
Brooklyn,Greenpoint,575467b1498e848fce847ca1,Pueblo Querido Coffee Roasters
Brooklyn,Greenpoint,58b6e16ffc73d40233da9715,odd fox
Brooklyn,Greenpoint,576eb1f5cd10a371033f7ad6,Maman
Brooklyn,Greenpoint,4d8f7d48d265236a02c72117,Upright Coffee
Brooklyn,Greenpoint,55cf6244498e24c4ebe3ae0b,Sweetleaf
Brooklyn,Brighton Beach,4b59aedcf964a520999228e3,Starbucks
Brooklyn,Manhattan Terrace,4c302b9409a99c749bff0a2a,Chock Full O' Nuts
Brooklyn,Flatbush,5172b2d4498e646485496d05,Coffee Mob
Brooklyn,Flatbush,55845926498e6ad57d30d6f8,Coffee Z
Brooklyn,Crown Heights,4d2b2d3b3c795481e27ee69b,Jenny Coffe Shop #2
Brooklyn,Kensington,57c4b6dc498ece54312a9a70,Angelica's Coffee Shop
Brooklyn,Prospect Heights,4a2407e6f964a520ef7d1fe3,Sit & Wonder
Brooklyn,Prospect Heights,5a6cc216f5e9d763b7a37c8f,Gran Caffe De Martini
Brooklyn,Prospect Heights,5d5021c8dbdd3d0008a39281,Coffee Spot
Brooklyn,Williamsburg,5d8663bddfbfcc0007278c66,Konditori
Brooklyn,Williamsburg,55b02e05498ef881a3a44c6d,The Flat's BK Speed Coffee
Brooklyn,Bushwick,5ca8ea3cd4cc980039e3729c,Lazy Suzy Cafe & Shop
Brooklyn,Bushwick,55e9fe71498e8edb034385a7,Dweebs
Brooklyn,Bushwick,56b8c8aa498e095e6ff4b065,Brooklyn Kava
Brooklyn,Bushwick,54c595e2498e9ffb3d369250,Bushwick Public House
Brooklyn,Bushwick,4ee74dca7ee5cae3f273d82e,Central Cafe
Brooklyn,Bedford Stuyvesant,56bf7516cd1024b6713b3563,Brooklyn Kettle
Brooklyn,Bedford Stuyvesant,5662f5d3498e53d321cd3456,"S,T Coffee"
Brooklyn,Bedford Stuyvesant,52a102da11d29a428cb564e7,Crocus Coffee
Brooklyn,Brooklyn Heights,59d7872e5a2c911745c2e8ca,Joe Coffee
Brooklyn,Brooklyn Heights,4de26e06814df7ebdc14af8b,Vineapple Cafe
Brooklyn,Brooklyn Heights,4acf7fb1f964a5201dd420e3,Starbucks
Brooklyn,Cobble Hill,59c2c26635f9837e08397ef4,Fare & Folk
Brooklyn,Cobble Hill,55423f82498e5156ac21cfb6,Swallow Cafe
Brooklyn,Cobble Hill,580d0a4838fa8cf0e28e76c2,Espresso Me
Brooklyn,Cobble Hill,5b930cafb77c77002c38373b,Salter House
Brooklyn,Carroll Gardens,58d933702f91cb026f478e38,East One Coffee Roasters
Brooklyn,Carroll Gardens,5d7ce692b4fc9c0008394021,Hungry Ghost
Brooklyn,Carroll Gardens,5ab6635edb1d812e09c3bc11,Bklyn Habit
Brooklyn,Carroll Gardens,5afda093012358002cfdbd9b,Planted
Brooklyn,Carroll Gardens,5970b104b9ac383dd3f059c2,Velvette Brew
Brooklyn,Carroll Gardens,49e49a74f964a52010631fe3,D'Amico Coffee Roasters
Brooklyn,Carroll Gardens,5ccdd5fd8b98fd0039cf6e99,Bond Street Coffee And Goods
Brooklyn,Red Hook,4cf111d0899c6ea8bf48eec1,Red Hook coffee shop
Brooklyn,Gowanus,5b2aa0d02619ee002c85184e,nerd be cool.
Brooklyn,Gowanus,5ab6635edb1d812e09c3bc11,Bklyn Habit
Brooklyn,Gowanus,52b33702498e8f48baff2f84,WFM Coffee Bar
Brooklyn,Fort Greene,49b79e04f964a5202b531fe3,Bittersweet
Brooklyn,Fort Greene,5295f62511d24c029a9ec2d9,Hungry Ghost
Brooklyn,Park Slope,5e2c4d6803cb1200089cbb9e,Hungry Ghost
Brooklyn,Park Slope,582332f950111c2bcea530e9,Blue Bottle Coffee
Brooklyn,Park Slope,4a64e954f964a520f6c61fe3,Café Regular du Nord
Brooklyn,Park Slope,5b65a1ee6dcf04002cbca38f,Velvette Brew
Brooklyn,Park Slope,5d8e3010396792000846b37c,nerd be cool. Espresso lab
Brooklyn,Park Slope,59f2499012f0a97a14b38d57,Milk Bar
Brooklyn,Bath Beach,546f2a1e498ec971bfa42c81,Starbucks
Brooklyn,Borough Park,55ef5340498eb1fd97754344,1982 Coffee Roasters
Brooklyn,Marine Park,5e4855647542960008d9a268,Marine Park Coffee
Brooklyn,Downtown,5ac4c1a3646e385d9e73f4d1,Devoción
Brooklyn,Downtown,5a6395d32105c3555b679f6e,Hungry Ghost
Brooklyn,Downtown,5b89aecc8c812a002ca7f2af,Coffee Project New York
Brooklyn,Downtown,5c9f97a8535d6f002c4abf09,White Noise Coffee Co.
Brooklyn,Downtown,530a2105498ec96180d3a42c,Absolute Coffee
Brooklyn,Boerum Hill,5831d03488cfcc313b5924b2,dot & line
Brooklyn,Boerum Hill,5d90bcd9bdcf690008c68e47,IXV
Brooklyn,Boerum Hill,5ac4c1a3646e385d9e73f4d1,Devoción
Brooklyn,Boerum Hill,5b89aecc8c812a002ca7f2af,Coffee Project New York
Brooklyn,Boerum Hill,530a2105498ec96180d3a42c,Absolute Coffee
Brooklyn,Boerum Hill,5ae700063fcee800395266b5,Hungry Ghost
Brooklyn,Prospect Lefferts Gardens,5bddec60c97f28002c534559,Brooklyn Perk
Brooklyn,Ocean Hill,58bad25c4bc2f1632aace318,Daily Press Coffee
Brooklyn,City Line,4f5f67eae4b0f5c1d143a686,Jassar Gourmet Deli
Brooklyn,Georgetown,5c0ae329898bdc002c5d08f9,Starbucks
Brooklyn,East Williamsburg,55aad5ad498e3edffdc18580,City of Saints Coffee Roasters
Brooklyn,East Williamsburg,4a5a2472f964a520c6b91fe3,Jessi's Coffee Shop
Brooklyn,North Side,546e7431498ea09f2b9152be,Sweatshop
Brooklyn,North Side,5e35c47bee4edc0008eb55c5,Copper Mug Coffee
Brooklyn,North Side,5d839388ebc5f800089cea77,Daymoves
Brooklyn,North Side,5b86febb3731ee002c98aa4b,ppl
Brooklyn,North Side,4ed1077a4690a03b5e13c348,Black Brick
Brooklyn,North Side,5b3cdc52c9a517002c585380,Blue Bottle Coffee
Brooklyn,North Side,5dcece7b5dd031000867b62e,Hungry Ghost
Brooklyn,North Side,4a69c95df964a52008cc1fe3,Oslo Coffee
Brooklyn,North Side,4eba99d3be7b1e562036cb46,Partners Coffee
Brooklyn,North Side,4a945657f964a520432120e3,Oslo Coffee Roasters
Brooklyn,North Side,5661eb12498e5dafb5f818f7,Lion's Milk
Brooklyn,South Side,5b86febb3731ee002c98aa4b,ppl
Brooklyn,South Side,5d839388ebc5f800089cea77,Daymoves
Brooklyn,South Side,5d8663bddfbfcc0007278c66,Konditori
Brooklyn,South Side,4a945657f964a520432120e3,Oslo Coffee Roasters
Brooklyn,South Side,546e7431498ea09f2b9152be,Sweatshop
Brooklyn,South Side,4ed1077a4690a03b5e13c348,Black Brick
Manhattan,Chinatown,579f74eb498e9a4d6caabeda,Little Canal
Manhattan,Chinatown,4df7603c7d8b5f396ac5cfd5,Cafe Grumpy
Manhattan,Washington Heights,5bafd8419de23b002c772a72,Forever Coffee Bar
Manhattan,Washington Heights,4aafdf93f964a520f66420e3,Starbucks
Manhattan,Inwood,5c092ec2d1a402002cd083cb,Kuro Kirin
Manhattan,Hamilton Heights,55aa54bc498eac980f832bc9,Monkey Cup
Manhattan,Hamilton Heights,537f7140498e15919e85ff84,Manhattanville Coffee
Manhattan,Hamilton Heights,57e584ed498eddfb8e1971a9,Matto Espresso (Espresso Matto)
Manhattan,Hamilton Heights,5b3cb1e828374e003971f2b1,Double Dutch Espresso
Manhattan,Manhattanville,5b0345aa9ba3e5002c6bfeb8,Dear Mama Coffee
Manhattan,Manhattanville,5c58826ad1a402002c0b8793,Plowshares Coffee
Manhattan,Manhattanville,4fef2f45e4b0562c835d6b7c,Kuro Kuma
Manhattan,Upper East Side,58232a8d8b624d27650026e8,Handcraft Coffee
Manhattan,Upper East Side,5c01826e60d11b002c912004,Starbucks
Manhattan,Upper East Side,4ef4c5b099111bd0a9b8e9c2,Joe the Art of Coffee
Manhattan,Upper East Side,5dbf3656eb5a0d000859a595,787 Coffee
Manhattan,Upper East Side,57eeb8e3498e1dd086ebf03f,Starbucks Reserve
Manhattan,Upper East Side,59b6f86861f0700444627663,Nespresso
Manhattan,Yorkville,5b0edcd498fbfc002cfcad0e,Stella & Fly
Manhattan,Yorkville,5145d153e4b0887518ec0317,Yorkafe
Manhattan,Yorkville,58b2f2f60037eb7f1a778535,Mellow Yellow - coffee & vibes
Manhattan,Yorkville,4a819c70f964a52006f71fe3,Starbucks
Manhattan,Yorkville,4b69efa9f964a52014bd2be3,Starbucks
Manhattan,Yorkville,4da39a219935a0933d0bcd6f,The Brown Cup
Manhattan,Lenox Hill,4b96c4b5f964a5204ce334e3,The Coffee Inn
Manhattan,Lenox Hill,4a4281c6f964a520e9a51fe3,Gotham Coffee House
Manhattan,Lenox Hill,5720f9bfcd10e6f14ea7317f,Gregorys Coffee
Manhattan,Lenox Hill,4e9078d6b63456ab9570ec12,Oslo Coffee Roasters
Manhattan,Lenox Hill,4ef4c5b099111bd0a9b8e9c2,Joe the Art of Coffee
Manhattan,Roosevelt Island,4b0807abf964a520890223e3,Starbucks
Manhattan,Upper West Side,4a773e0df964a520f1e31fe3,Joe Coffee Company
Manhattan,Upper West Side,589634906c682b1f845ae6dc,Matto Espresso
Manhattan,Upper West Side,4fc64ab9e4b0acb95c508a5f,Irving Farm Coffee Roasters
Manhattan,Lincoln Square,544e883b498e01e80f241740,Joe: The Art of Coffee
Manhattan,Lincoln Square,4abb899bf964a520f18320e3,Starbucks
Manhattan,Clinton,5c683caaf96b2c00397a8609,Oslo Coffee Roasters
Manhattan,Clinton,526d9114498ec8efda93fcce,Romeo and Juliet Coffee
Manhattan,Clinton,5a8ce147bed4832067bea15e,Bird & Branch
Manhattan,Clinton,53bad291498e3c01b5629fe8,The Jolly Goat Coffee Bar
Manhattan,Midtown,5491e424498e93529c115699,Bluestone Lane
Manhattan,Midtown,54566365498e4fb5ed4fe987,Blue Bottle Coffee
Manhattan,Midtown,59078c905d891b3723d5d6c4,Joe Coffee Company
Manhattan,Midtown,57f27362498ef61538900f04,La Colombe Torrefaction
Manhattan,Murray Hill,516bf3c5e4b0e8d4443da599,Perk Kafe
Manhattan,Murray Hill,4caf199db4b0a35dc8033ece,Lucid Cafe
Manhattan,Murray Hill,572759e0498efe726c551007,Taylor St. Baristas
Manhattan,Murray Hill,59f337859e3b65154afaaa14,Blue Bottle Coffee
Manhattan,Murray Hill,5492c1ac498e8912e761756f,Gregory's Coffee
Manhattan,Murray Hill,536fe442498e193806dedd8f,Cafe Grumpy
Manhattan,Chelsea,519a94e3498e722d3d9ae1bf,Intelligentsia Coffee
Manhattan,Chelsea,5c13bf838afbe0002de55061,Starbucks Reserve Roastery
Manhattan,Chelsea,5cc82d711acf11002c0998f5,St Kilda Coffee
Manhattan,Chelsea,569aa89d498e5a25c05fdfec,Terremoto
Manhattan,Chelsea,4f3a9e05bb3d2fbe725ca57a,Blue Bottle Coffee
Manhattan,Chelsea,52e3f701498eb11ab8cb510f,Underline Coffee
Manhattan,Chelsea,49c192c5f964a520b6551fe3,Joe Coffee Company
Manhattan,Chelsea,55e9f118498eda28f897f9e3,Kobrick Coffee Co.
Manhattan,Greenwich Village,573498df498e6df2eb8b36a7,La Colombe Torrefaction
Manhattan,Greenwich Village,3fd66200f964a52059e61ee3,Porto Rico Importing Co.
Manhattan,East Village,49d36ca4f964a520f75b1fe3,Ninth Street Espresso
Manhattan,East Village,5bb4cdac28374e002bac356a,787 Coffee
Manhattan,East Village,47fdf872f964a520e14e1fe3,Abraço
Manhattan,Lower East Side,58cad6c05da8f41cc9b96113,Blue Bottle Coffee
Manhattan,Lower East Side,52711f4911d29752fa8b53c8,Black Cat Coffee
Manhattan,Tribeca,4f6a28d5e4b085e9a4b3c5e1,Kaffe 1668
Manhattan,Tribeca,4ea0afbf9adf1e334e4cc0e6,Laughing Man Coffee & Tea
Manhattan,Tribeca,5bbb9cd686f4cc00392b5aaf,Blue Bottle Coffee
Manhattan,Little Italy,52b0a990498eb3a992b89573,Happy Bones
Manhattan,Little Italy,57bf76a2498e98061d338fe3,Café Integral
Manhattan,Soho,4a942a25f964a520972020e3,Ground Support
Manhattan,Soho,52b0a990498eb3a992b89573,Happy Bones
Manhattan,Soho,5703f9a5cd1014db975d2d21,About Coffee
Manhattan,Soho,49d2b43ef964a520cb5b1fe3,La Colombe Torrefaction
Manhattan,Soho,573498df498e6df2eb8b36a7,La Colombe Torrefaction
Manhattan,West Village,5418490f498e4d3bb75c7bcc,The ELK
